,gene,group1,group2,p_value
93,Lepr,HFHS restriction,control ad lib,0.41516212882789766
94,Lepr,HFHS restriction,control restriction,0.08736791160762358
95,Lepr,HFHS restriction,HFHS ad lib,0.28758676596009836
96,MC4R,control ad lib,control restriction,0.0799320987739866
97,MC4R,control ad lib,HFHS ad lib,0.11231931946189022
98,MC4R,control ad lib,HFHS restriction,0.3085375387259869
99,MC4R,control restriction,control ad lib,0.0799320987739866
100,MC4R,control restriction,HFHS ad lib,0.2601584002536833
101,MC4R,control restriction,HFHS restriction,0.21601744600250378
102,MC4R,HFHS ad lib,control ad lib,0.11231931946189022
103,MC4R,HFHS ad lib,control restriction,0.2601584002536833
104,MC4R,HFHS ad lib,HFHS restriction,0.3444602779022303
105,MC4R,HFHS restriction,control ad lib,0.3085375387259869
106,MC4R,HFHS restriction,control restriction,0.21601744600250378
107,MC4R,HFHS restriction,HFHS ad lib,0.3444602779022303
108,Cckar,control ad lib,control restriction,0.3991489236642632
109,Cckar,control ad lib,HFHS ad lib,0.14198838587545587
110,Cckar,control ad lib,HFHS restriction,0.3085375387259869
111,Cckar,control restriction,control ad lib,0.3991489236642632
112,Cckar,control restriction,HFHS ad lib,0.17655561725300278
113,Cckar,control restriction,HFHS restriction,0.47152833548352147
114,Cckar,HFHS ad lib,control ad lib,0.14198838587545587
115,Cckar,HFHS ad lib,control restriction,0.17655561725300278
116,Cckar,HFHS ad lib,HFHS restriction,0.1489765308040839
117,Cckar,HFHS restriction,control ad lib,0.3085375387259869
118,Cckar,HFHS restriction,control restriction,0.47152833548352147
119,Cckar,HFHS restriction,HFHS ad lib,0.1489765308040839
120,Cckbr,control ad lib,control restriction,0.5
121,Cckbr,control ad lib,HFHS ad lib,0.08736791160762358
122,Cckbr,control ad lib,HFHS restriction,0.3604924309508354
123,Cckbr,control restriction,control ad lib,0.5
124,Cckbr,control restriction,HFHS ad lib,0.05020624699305142
125,Cckbr,control restriction,HFHS restriction,0.14198838587545587
126,Cckbr,HFHS ad lib,control ad lib,0.08736791160762358
127,Cckbr,HFHS ad lib,control restriction,0.05020624699305142
128,Cckbr,HFHS ad lib,HFHS restriction,0.23558499924502785
129,Cckbr,HFHS restriction,control ad lib,0.3604924309508354
130,Cckbr,HFHS restriction,control restriction,0.14198838587545587
131,Cckbr,HFHS restriction,HFHS ad lib,0.23558499924502785
132,Oxtr,control ad lib,control restriction,0.15334253295209033
133,Oxtr,control ad lib,HFHS ad lib,0.3085375387259869
134,Oxtr,control ad lib,HFHS restriction,0.08736791160762358
135,Oxtr,control restriction,control ad lib,0.15334253295209033
136,Oxtr,control restriction,HFHS ad lib,0.3604924309508354
137,Oxtr,control restriction,HFHS restriction,0.47152833548352147
138,Oxtr,HFHS ad lib,control ad lib,0.3085375387259869
139,Oxtr,HFHS ad lib,control restriction,0.3604924309508354
140,Oxtr,HFHS ad lib,HFHS restriction,0.23558499924502785
141,Oxtr,HFHS restriction,control ad lib,0.08736791160762358
142,Oxtr,HFHS restriction,control restriction,0.47152833548352147
143,Oxtr,HFHS restriction,HFHS ad lib,0.23558499924502785
