,Day,group1,group2,p_value
103,19-Oct,control restriction,HFHS restriction,0.0017843142184666935
104,20-Oct,control ad lib,control restriction,0.028622066830972296
105,20-Oct,control restriction,HFHS ad lib,0.001203435010596002
106,20-Oct,control restriction,HFHS restriction,0.0026814013889709496
107,21-Oct,control restriction,HFHS ad lib,0.0022529926337705366
108,21-Oct,control restriction,HFHS restriction,0.008444981110559378
109,22-Oct,control restriction,HFHS ad lib,0.0012108870108563864
110,22-Oct,control restriction,HFHS restriction,0.0045588910574887375
111,23-Oct,control ad lib,HFHS ad lib,0.030300984856003035
112,23-Oct,control restriction,HFHS ad lib,0.00031775396212345625
113,23-Oct,control restriction,HFHS restriction,0.00020614740103084563
114,24-Oct,control ad lib,control restriction,0.016528762474502606
115,24-Oct,control ad lib,HFHS ad lib,0.04589734725512743
116,24-Oct,control restriction,HFHS ad lib,0.001024688035719357
117,24-Oct,control restriction,HFHS restriction,0.0009775343985548937
118,25-Oct,control ad lib,control restriction,0.031639753570427476
119,25-Oct,control restriction,HFHS ad lib,0.0012183674044945047
120,25-Oct,control restriction,HFHS restriction,0.00024174863934919313
121,26-Oct,control ad lib,HFHS restriction,0.046529745278287724
122,26-Oct,control restriction,HFHS ad lib,0.000527061454925138
123,26-Oct,control restriction,HFHS restriction,0.00028120056911038653
124,27-Oct,control ad lib,control restriction,0.023358766474108537
125,27-Oct,control ad lib,HFHS restriction,0.03184488756831434
126,27-Oct,control restriction,HFHS ad lib,0.00044719374476459
127,27-Oct,control restriction,HFHS restriction,0.0002047300544265788
128,28-Oct,control ad lib,control restriction,0.046614295251386724
129,28-Oct,control ad lib,HFHS restriction,0.02596879786197251
130,28-Oct,control restriction,HFHS restriction,0.0004614374988130994
131,29-Oct,control ad lib,control restriction,0.021023797120357107
132,29-Oct,control restriction,HFHS ad lib,0.0008763194415073017
133,29-Oct,control restriction,HFHS restriction,0.000850621287005042
134,30-Oct,control ad lib,control restriction,0.009610533626632459
135,30-Oct,control restriction,HFHS ad lib,0.0006330852714512845
