,Day,group1,group2,p_value
380,18-Oct,HFHS ad lib,HFHS restriction,0.46160048574500284
381,18-Oct,HFHS restriction,control ad lib,0.03477097369436934
382,18-Oct,HFHS restriction,control restriction,0.00304371629233204
383,18-Oct,HFHS restriction,HFHS ad lib,0.46160048574500284
384,19-Oct,control ad lib,control restriction,0.11649447991250483
385,19-Oct,control ad lib,HFHS ad lib,0.0270720956996846
386,19-Oct,control ad lib,HFHS restriction,0.0385414440766041
387,19-Oct,control restriction,control ad lib,0.11649447991250483
388,19-Oct,control restriction,HFHS ad lib,0.0016684702536990444
389,19-Oct,control restriction,HFHS restriction,0.0017843142184666935
390,19-Oct,HFHS ad lib,control ad lib,0.0270720956996846
391,19-Oct,HFHS ad lib,control restriction,0.0016684702536990444
392,19-Oct,HFHS ad lib,HFHS restriction,0.5
393,19-Oct,HFHS restriction,control ad lib,0.0385414440766041
394,19-Oct,HFHS restriction,control restriction,0.0017843142184666935
395,19-Oct,HFHS restriction,HFHS ad lib,0.5
396,20-Oct,control ad lib,control restriction,0.028622066830972296
397,20-Oct,control ad lib,HFHS ad lib,0.055624973746829946
398,20-Oct,control ad lib,HFHS restriction,0.09997313299772748
399,20-Oct,control restriction,control ad lib,0.028622066830972296
400,20-Oct,control restriction,HFHS ad lib,0.001203435010596002
401,20-Oct,control restriction,HFHS restriction,0.0026814013889709496
402,20-Oct,HFHS ad lib,control ad lib,0.055624973746829946
403,20-Oct,HFHS ad lib,control restriction,0.001203435010596002
404,20-Oct,HFHS ad lib,HFHS restriction,0.3499806382155564
405,20-Oct,HFHS restriction,control ad lib,0.09997313299772748
406,20-Oct,HFHS restriction,control restriction,0.0026814013889709496
407,20-Oct,HFHS restriction,HFHS ad lib,0.3499806382155564
408,21-Oct,control ad lib,control restriction,0.09985680837366717
409,21-Oct,control ad lib,HFHS ad lib,0.03358607109209311
410,21-Oct,control ad lib,HFHS restriction,0.060945495748380506
411,21-Oct,control restriction,control ad lib,0.09985680837366717
412,21-Oct,control restriction,HFHS ad lib,0.0022529926337705366
413,21-Oct,control restriction,HFHS restriction,0.008444981110559378
414,21-Oct,HFHS ad lib,control ad lib,0.03358607109209311
415,21-Oct,HFHS ad lib,control restriction,0.0022529926337705366
416,21-Oct,HFHS ad lib,HFHS restriction,0.3500682389033404
417,21-Oct,HFHS restriction,control ad lib,0.060945495748380506
418,21-Oct,HFHS restriction,control restriction,0.008444981110559378
419,21-Oct,HFHS restriction,HFHS ad lib,0.3500682389033404
420,22-Oct,control ad lib,control restriction,0.012097066413512715
421,22-Oct,control ad lib,HFHS ad lib,0.056175598845231926
422,22-Oct,control ad lib,HFHS restriction,0.11649447991250483
423,22-Oct,control restriction,control ad lib,0.012097066413512715
424,22-Oct,control restriction,HFHS ad lib,0.0012108870108563864
425,22-Oct,control restriction,HFHS restriction,0.0045588910574887375
426,22-Oct,HFHS ad lib,control ad lib,0.056175598845231926
427,22-Oct,HFHS ad lib,control restriction,0.0012108870108563864
428,22-Oct,HFHS ad lib,HFHS restriction,0.4808132831530687
429,22-Oct,HFHS restriction,control ad lib,0.11649447991250483
430,22-Oct,HFHS restriction,control restriction,0.0045588910574887375
431,22-Oct,HFHS restriction,HFHS ad lib,0.4808132831530687
432,23-Oct,control ad lib,control restriction,0.017034597572071968
433,23-Oct,control ad lib,HFHS ad lib,0.030300984856003035
434,23-Oct,control ad lib,HFHS restriction,0.0610419323587186
435,23-Oct,control restriction,control ad lib,0.017034597572071968
436,23-Oct,control restriction,HFHS ad lib,0.00031775396212345625
437,23-Oct,control restriction,HFHS restriction,0.00020614740103084563
438,23-Oct,HFHS ad lib,control ad lib,0.030300984856003035
439,23-Oct,HFHS ad lib,control restriction,0.00031775396212345625
440,23-Oct,HFHS ad lib,HFHS restriction,0.3321159274103196
