,Day,group1,group2,p_value
69,22-Sep,HFHS restriction,control ad lib,0.060752531772436315
70,22-Sep,HFHS restriction,control restriction,0.018346571414636952
71,22-Sep,HFHS restriction,HFHS ad lib,0.14402966706265563
72,23-Sep,control ad lib,control restriction,0.3781507200070347
73,23-Sep,control ad lib,HFHS ad lib,0.03006445564186529
74,23-Sep,control ad lib,HFHS restriction,0.04619146816152361
75,23-Sep,control restriction,control ad lib,0.3781507200070347
76,23-Sep,control restriction,HFHS ad lib,0.007845788586232201
77,23-Sep,control restriction,HFHS restriction,0.014658311964023254
78,23-Sep,HFHS ad lib,control ad lib,0.03006445564186529
79,23-Sep,HFHS ad lib,control restriction,0.007845788586232201
80,23-Sep,HFHS ad lib,HFHS restriction,0.2805253686745562
81,23-Sep,HFHS restriction,control ad lib,0.04619146816152361
82,23-Sep,HFHS restriction,control restriction,0.014658311964023254
83,23-Sep,HFHS restriction,HFHS ad lib,0.2805253686745562
84,24-Sep,control ad lib,control restriction,0.44717724406274717
85,24-Sep,control ad lib,HFHS ad lib,0.026924555167547784
86,24-Sep,control ad lib,HFHS restriction,0.14315563627770828
87,24-Sep,control restriction,control ad lib,0.44717724406274717
88,24-Sep,control restriction,HFHS ad lib,0.013209793940487831
89,24-Sep,control restriction,HFHS restriction,0.07766962724680601
90,24-Sep,HFHS ad lib,control ad lib,0.026924555167547784
91,24-Sep,HFHS ad lib,control restriction,0.013209793940487831
92,24-Sep,HFHS ad lib,HFHS restriction,0.1043581648638377
93,24-Sep,HFHS restriction,control ad lib,0.14315563627770828
94,24-Sep,HFHS restriction,control restriction,0.07766962724680601
95,24-Sep,HFHS restriction,HFHS ad lib,0.1043581648638377
96,25-Sep,control ad lib,control restriction,0.4297659947189522
97,25-Sep,control ad lib,HFHS ad lib,0.021525911146651096
98,25-Sep,control ad lib,HFHS restriction,0.07842294494754666
99,25-Sep,control restriction,control ad lib,0.4297659947189522
100,25-Sep,control restriction,HFHS ad lib,0.0029108032666109026
101,25-Sep,control restriction,HFHS restriction,0.025787184885813427
102,25-Sep,HFHS ad lib,control ad lib,0.021525911146651096
103,25-Sep,HFHS ad lib,control restriction,0.0029108032666109026
104,25-Sep,HFHS ad lib,HFHS restriction,0.1794357960643279
105,25-Sep,HFHS restriction,control ad lib,0.07842294494754666
106,25-Sep,HFHS restriction,control restriction,0.025787184885813427
107,25-Sep,HFHS restriction,HFHS ad lib,0.1794357960643279
108,26-Sep,control ad lib,control restriction,0.44712268560961066
109,26-Sep,control ad lib,HFHS ad lib,0.01042147003853218
110,26-Sep,control ad lib,HFHS restriction,0.03150307681840539
111,26-Sep,control restriction,control ad lib,0.44712268560961066
112,26-Sep,control restriction,HFHS ad lib,0.011487112214912063
113,26-Sep,control restriction,HFHS restriction,0.020652888402933646
114,26-Sep,HFHS ad lib,control ad lib,0.01042147003853218
115,26-Sep,HFHS ad lib,control restriction,0.011487112214912063
116,26-Sep,HFHS ad lib,HFHS restriction,0.20598541925987984
117,26-Sep,HFHS restriction,control ad lib,0.03150307681840539
118,26-Sep,HFHS restriction,control restriction,0.020652888402933646
119,26-Sep,HFHS restriction,HFHS ad lib,0.20598541925987984
120,27-Sep,control ad lib,control restriction,0.46476381663524025
121,27-Sep,control ad lib,HFHS ad lib,0.023994484114852867
122,27-Sep,control ad lib,HFHS restriction,0.028557675889619518
123,27-Sep,control restriction,control ad lib,0.46476381663524025
124,27-Sep,control restriction,HFHS ad lib,0.03006445564186529
125,27-Sep,control restriction,HFHS restriction,0.02530398283235468
126,27-Sep,HFHS ad lib,control ad lib,0.023994484114852867
127,27-Sep,HFHS ad lib,control restriction,0.03006445564186529
128,27-Sep,HFHS ad lib,HFHS restriction,0.3492742662823381
129,27-Sep,HFHS restriction,control ad lib,0.028557675889619518
130,27-Sep,HFHS restriction,control restriction,0.02530398283235468
131,27-Sep,HFHS restriction,HFHS ad lib,0.3492742662823381
132,28-Sep,control ad lib,control restriction,0.4295852375224793
133,28-Sep,control ad lib,HFHS ad lib,0.018570063117197645
134,28-Sep,control ad lib,HFHS restriction,0.012023830554311355
135,28-Sep,control restriction,control ad lib,0.4295852375224793
136,28-Sep,control restriction,HFHS ad lib,0.02385705078803809
137,28-Sep,control restriction,HFHS restriction,0.020652888402933646
138,28-Sep,HFHS ad lib,control ad lib,0.018570063117197645
139,28-Sep,HFHS ad lib,control restriction,0.02385705078803809
140,28-Sep,HFHS ad lib,HFHS restriction,0.423228782567284
141,28-Sep,HFHS restriction,control ad lib,0.012023830554311355
142,28-Sep,HFHS restriction,control restriction,0.020652888402933646
143,28-Sep,HFHS restriction,HFHS ad lib,0.423228782567284
144,29-Sep,control ad lib,control restriction,0.48228200984048136
145,29-Sep,control ad lib,HFHS ad lib,0.033250270298456015
146,29-Sep,control ad lib,HFHS restriction,0.02307526716369694
147,29-Sep,control restriction,control ad lib,0.48228200984048136
148,29-Sep,control restriction,HFHS ad lib,0.03358607109209311
149,29-Sep,control restriction,HFHS restriction,0.020917665654327566
150,29-Sep,HFHS ad lib,control ad lib,0.033250270298456015
151,29-Sep,HFHS ad lib,control restriction,0.03358607109209311
152,29-Sep,HFHS ad lib,HFHS restriction,0.3677478178440719
153,29-Sep,HFHS restriction,control ad lib,0.02307526716369694
154,29-Sep,HFHS restriction,control restriction,0.020917665654327566
155,29-Sep,HFHS restriction,HFHS ad lib,0.3677478178440719
156,30-Sep,control ad lib,control restriction,0.5
157,30-Sep,control ad lib,HFHS ad lib,0.016857381430781786
158,30-Sep,control ad lib,HFHS restriction,0.01487059570459295
159,30-Sep,control restriction,control ad lib,0.5
160,30-Sep,control restriction,HFHS ad lib,0.03014327315226501
161,30-Sep,control restriction,HFHS restriction,0.02097071576470926
162,30-Sep,HFHS ad lib,control ad lib,0.016857381430781786
163,30-Sep,HFHS ad lib,control restriction,0.03014327315226501
164,30-Sep,HFHS ad lib,HFHS restriction,0.5
165,30-Sep,HFHS restriction,control ad lib,0.01487059570459295
166,30-Sep,HFHS restriction,control restriction,0.02097071576470926
167,30-Sep,HFHS restriction,HFHS ad lib,0.5
168,1-Oct,control ad lib,control restriction,0.4823280842918109
169,1-Oct,control ad lib,HFHS ad lib,0.005362591381958515
170,1-Oct,control ad lib,HFHS restriction,0.00954835067432986
171,1-Oct,control restriction,control ad lib,0.4823280842918109
172,1-Oct,control restriction,HFHS ad lib,0.00297200107466244
173,1-Oct,control restriction,HFHS restriction,0.006566341263717257
174,1-Oct,HFHS ad lib,control ad lib,0.005362591381958515
175,1-Oct,HFHS ad lib,control restriction,0.00297200107466244
176,1-Oct,HFHS ad lib,HFHS restriction,0.5
177,1-Oct,HFHS restriction,control ad lib,0.00954835067432986
178,1-Oct,HFHS restriction,control restriction,0.006566341263717257
179,1-Oct,HFHS restriction,HFHS ad lib,0.5
180,2-Oct,control ad lib,control restriction,0.34517177987392966
181,2-Oct,control ad lib,HFHS ad lib,0.00700998700314939
182,2-Oct,control ad lib,HFHS restriction,0.010740598434360926
183,2-Oct,control restriction,control ad lib,0.34517177987392966
184,2-Oct,control restriction,HFHS ad lib,0.002204064520445233
185,2-Oct,control restriction,HFHS restriction,0.0030569057005338618
186,2-Oct,HFHS ad lib,control ad lib,0.00700998700314939
187,2-Oct,HFHS ad lib,control restriction,0.002204064520445233
188,2-Oct,HFHS ad lib,HFHS restriction,0.5
189,2-Oct,HFHS restriction,control ad lib,0.010740598434360926
190,2-Oct,HFHS restriction,control restriction,0.0030569057005338618
191,2-Oct,HFHS restriction,HFHS ad lib,0.5
192,3-Oct,control ad lib,control restriction,0.4647456118469241
193,3-Oct,control ad lib,HFHS ad lib,0.01042147003853218
194,3-Oct,control ad lib,HFHS restriction,0.021076909589827893
195,3-Oct,control restriction,control ad lib,0.4647456118469241
196,3-Oct,control restriction,HFHS ad lib,0.005314515925812627
197,3-Oct,control restriction,HFHS restriction,0.01680412984845723
198,3-Oct,HFHS ad lib,control ad lib,0.01042147003853218
199,3-Oct,HFHS ad lib,control restriction,0.005314515925812627
200,3-Oct,HFHS ad lib,HFHS restriction,0.4425820076527548
201,3-Oct,HFHS restriction,control ad lib,0.021076909589827893
202,3-Oct,HFHS restriction,control restriction,0.01680412984845723
203,3-Oct,HFHS restriction,HFHS ad lib,0.4425820076527548
204,4-Oct,control ad lib,control restriction,0.5
205,4-Oct,control ad lib,HFHS ad lib,0.010187470152601526
206,4-Oct,control ad lib,HFHS restriction,0.006518988510966489
207,4-Oct,control restriction,control ad lib,0.5
208,4-Oct,control restriction,HFHS ad lib,0.004644020353592392
209,4-Oct,control restriction,HFHS restriction,0.00850197092750677
210,4-Oct,HFHS ad lib,control ad lib,0.010187470152601526
211,4-Oct,HFHS ad lib,control restriction,0.004644020353592392
212,4-Oct,HFHS ad lib,HFHS restriction,0.5
213,4-Oct,HFHS restriction,control ad lib,0.006518988510966489
214,4-Oct,HFHS restriction,control restriction,0.00850197092750677
215,4-Oct,HFHS restriction,HFHS ad lib,0.5
216,5-Oct,control ad lib,control restriction,0.48218876936416505
217,5-Oct,control ad lib,HFHS ad lib,0.014887619863968159
218,5-Oct,control ad lib,HFHS restriction,0.008331481122773467
219,5-Oct,control restriction,control ad lib,0.48218876936416505
220,5-Oct,control restriction,HFHS ad lib,0.0019135477960123604
221,5-Oct,control restriction,HFHS restriction,0.003986926134027952
222,5-Oct,HFHS ad lib,control ad lib,0.014887619863968159
223,5-Oct,HFHS ad lib,control restriction,0.0019135477960123604
224,5-Oct,HFHS ad lib,HFHS restriction,0.44251191648315436
225,5-Oct,HFHS restriction,control ad lib,0.008331481122773467
226,5-Oct,HFHS restriction,control restriction,0.003986926134027952
227,5-Oct,HFHS restriction,HFHS ad lib,0.44251191648315436
228,6-Oct,control ad lib,control restriction,0.5
229,6-Oct,control ad lib,HFHS ad lib,0.010265243256891682
230,6-Oct,control ad lib,HFHS restriction,0.017034597572071968
231,6-Oct,control restriction,control ad lib,0.5
232,6-Oct,control restriction,HFHS ad lib,0.005314515925812627
233,6-Oct,control restriction,HFHS restriction,0.006709328960248736
234,6-Oct,HFHS ad lib,control ad lib,0.010265243256891682
235,6-Oct,HFHS ad lib,control restriction,0.005314515925812627
236,6-Oct,HFHS ad lib,HFHS restriction,0.5
237,6-Oct,HFHS restriction,control ad lib,0.017034597572071968
238,6-Oct,HFHS restriction,control restriction,0.006709328960248736
239,6-Oct,HFHS restriction,HFHS ad lib,0.5
240,7-Oct,control ad lib,control restriction,0.3953824429734847
241,7-Oct,control ad lib,HFHS ad lib,0.008808617739624857
242,7-Oct,control ad lib,HFHS restriction,0.010774377668498517
243,7-Oct,control restriction,control ad lib,0.3953824429734847
244,7-Oct,control restriction,HFHS ad lib,0.0029413154440729706
245,7-Oct,control restriction,HFHS restriction,0.005880880316079937
246,7-Oct,HFHS ad lib,control ad lib,0.008808617739624857
247,7-Oct,HFHS ad lib,control restriction,0.0029413154440729706
248,7-Oct,HFHS ad lib,HFHS restriction,0.4422289628766306
249,7-Oct,HFHS restriction,control ad lib,0.010774377668498517
250,7-Oct,HFHS restriction,control restriction,0.005880880316079937
251,7-Oct,HFHS restriction,HFHS ad lib,0.4422289628766306
252,8-Oct,control ad lib,control restriction,0.4125080968412809
253,8-Oct,control ad lib,HFHS ad lib,0.02699830928378356
254,8-Oct,control ad lib,HFHS restriction,0.015169394704348298
255,8-Oct,control restriction,control ad lib,0.4125080968412809
256,8-Oct,control restriction,HFHS ad lib,0.006123906016451099
257,8-Oct,control restriction,HFHS restriction,0.006685401185413613
258,8-Oct,HFHS ad lib,control ad lib,0.02699830928378356
259,8-Oct,HFHS ad lib,control restriction,0.006123906016451099
260,8-Oct,HFHS ad lib,HFHS restriction,0.3677478178440719
261,8-Oct,HFHS restriction,control ad lib,0.015169394704348298
262,8-Oct,HFHS restriction,control restriction,0.006685401185413613
263,8-Oct,HFHS restriction,HFHS ad lib,0.3677478178440719
264,9-Oct,control ad lib,control restriction,0.3291737516817411
265,9-Oct,control ad lib,HFHS ad lib,0.015039276538875625
266,9-Oct,control ad lib,HFHS restriction,0.011914274261315494
267,9-Oct,control restriction,control ad lib,0.3291737516817411
268,9-Oct,control restriction,HFHS ad lib,0.0034746124522311503
269,9-Oct,control restriction,HFHS restriction,0.005084010284199311
270,9-Oct,HFHS ad lib,control ad lib,0.015039276538875625
271,9-Oct,HFHS ad lib,control restriction,0.0034746124522311503
272,9-Oct,HFHS ad lib,HFHS restriction,0.46136286955375094
273,9-Oct,HFHS restriction,control ad lib,0.011914274261315494
274,9-Oct,HFHS restriction,control restriction,0.005084010284199311
275,9-Oct,HFHS restriction,HFHS ad lib,0.46136286955375094
276,10-Oct,control ad lib,control restriction,0.39543529406838573
277,10-Oct,control ad lib,HFHS ad lib,0.019043005316563468
